iter	Passed	Remaining
0	19	9681
1	30	7674
2	38	6442
3	46	5709
4	54	5388
5	61	5102
6	68	4821
7	75	4653
8	82	4512
9	89	4366
10	96	4308
11	103	4222
12	110	4129
13	116	4030
14	122	3975
15	129	3925
16	136	3869
17	142	3815
18	149	3782
19	155	3730
20	161	3686
21	168	3656
22	174	3619
23	181	3589
24	187	3556
25	193	3531
26	215	3783
27	225	3798
28	234	3808
29	243	3808
30	251	3812
31	259	3800
32	266	3776
33	274	3757
34	281	3735
35	287	3706
36	294	3686
37	301	3666
38	308	3644
39	315	3624
40	321	3601
41	328	3585
42	332	3534
43	339	3515
44	347	3513
45	354	3495
46	361	3482
47	367	3461
48	373	3439
49	379	3418
50	385	3397
51	391	3376
52	398	3359
53	404	3344
54	411	3327
55	417	3313
56	424	3300
57	430	3284
58	437	3271
59	439	3220
60	445	3205
61	453	3202
62	460	3192
63	464	3164
64	470	3150
65	476	3134
66	483	3123
67	489	3108
68	495	3094
69	502	3084
70	508	3074
71	515	3064
72	521	3050
73	528	3044
74	535	3036
75	542	3026
76	549	3018
77	556	3009
78	562	2997
79	569	2988
80	575	2976
81	581	2964
82	588	2955
83	595	2947
84	597	2915
85	603	2905
86	609	2895
87	616	2886
88	623	2878
89	629	2868
90	636	2859
91	639	2834
92	646	2827
93	652	2816
94	658	2805
95	664	2796
96	670	2787
97	677	2777
98	683	2767
99	689	2758
100	696	2749
101	702	2740
102	709	2733
103	715	2725
104	722	2716
105	728	2707
106	735	2700
107	741	2692
108	747	2683
109	754	2675
110	760	2666
111	767	2658
112	773	2648
113	779	2639
114	785	2630
115	791	2621
116	798	2614
117	805	2607
118	812	2601
119	819	2593
120	825	2585
121	832	2578
122	838	2571
123	845	2563
124	851	2555
125	858	2547
126	864	2539
127	870	2530
128	877	2522
129	883	2514
130	889	2506
131	896	2498
132	902	2491
133	908	2482
134	915	2474
135	921	2466
136	927	2457
137	933	2448
138	939	2440
139	946	2433
140	952	2425
141	959	2418
142	965	2411
143	987	2440
144	995	2436
145	1004	2434
146	1011	2428
147	1019	2425
148	1028	2423
149	1037	2421
150	1044	2414
151	1051	2407
152	1057	2399
153	1064	2392
154	1070	2383
155	1076	2374
156	1083	2366
157	1090	2359
158	1096	2351
159	1103	2344
160	1109	2336
161	1115	2328
162	1122	2320
163	1128	2312
164	1135	2304
165	1142	2298
166	1149	2291
167	1155	2283
168	1162	2276
169	1169	2270
170	1175	2262
171	1182	2254
172	1188	2247
173	1195	2239
174	1201	2231
175	1207	2223
176	1214	2215
177	1220	2207
178	1226	2199
179	1232	2190
180	1238	2183
181	1245	2175
182	1251	2168
183	1258	2161
184	1265	2154
185	1271	2146
186	1278	2139
187	1284	2132
188	1291	2124
189	1297	2117
190	1305	2111
191	1311	2103
192	1318	2097
193	1325	2090
194	1332	2083
195	1338	2076
196	1345	2069
197	1352	2062
198	1358	2055
199	1365	2047
200	1371	2039
201	1377	2032
202	1383	2024
203	1389	2015
204	1395	2008
205	1401	2000
206	1407	1992
207	1414	1985
208	1420	1978
209	1427	1971
210	1433	1963
211	1440	1956
212	1446	1949
213	1453	1942
214	1460	1935
215	1466	1927
216	1472	1920
217	1478	1912
218	1484	1904
219	1490	1896
220	1496	1888
221	1502	1881
222	1508	1873
223	1514	1866
224	1521	1859
225	1527	1852
226	1534	1845
227	1540	1837
228	1546	1830
229	1552	1822
230	1558	1815
231	1564	1807
232	1571	1800
233	1578	1793
234	1584	1786
235	1590	1779
236	1597	1772
237	1603	1765
238	1610	1758
239	1616	1751
240	1622	1743
241	1629	1736
242	1635	1729
243	1641	1722
244	1647	1714
245	1653	1707
246	1659	1699
247	1665	1692
248	1672	1686
249	1679	1679
250	1685	1671
251	1692	1665
252	1698	1658
253	1705	1651
254	1711	1644
255	1718	1638
256	1724	1630
257	1730	1623
258	1737	1616
259	1743	1609
260	1749	1602
261	1755	1594
262	1762	1587
263	1768	1581
264	1774	1573
265	1781	1566
266	1787	1559
267	1793	1552
268	1800	1545
269	1806	1538
270	1812	1531
271	1818	1524
272	1825	1517
273	1830	1509
274	1836	1502
275	1842	1495
276	1848	1488
277	1855	1481
278	1861	1474
279	1868	1468
280	1875	1461
281	1881	1454
282	1887	1447
283	1893	1440
284	1900	1433
285	1906	1426
286	1913	1420
287	1920	1413
288	1927	1406
289	1933	1400
290	1939	1393
291	1946	1386
292	1952	1379
293	1958	1372
294	1964	1365
295	1971	1358
296	1977	1351
297	1984	1344
298	1991	1338
299	1997	1331
300	2004	1325
301	2011	1318
302	2019	1312
303	2026	1306
304	2032	1299
305	2039	1293
306	2046	1286
